CONSECUTIVO,LETRA,CATALOG_KEY,NOMBRE,DIA_CRONICOS,DIA_CAINFANTIL,LSEX,LINF,LSUP,CLAVE_PROGRAMA_SIS,CLAVE_CAPITULO ,CAPITULO ,ES_SUIVE_MORB ,EPI_CLAVE ,EPI_CLAVE_DESC 2024,TIPO_PERSONAL_1VEZ_CE,TIPO_PERSONAL_SUBSEC_CE,VALIDO_SM,VALIDO_SB,VALIDO_PF
1113,C,C826,LINFOMA CENTRO FOLICULAR CUTÁNEO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1114,C,C827,OTROS TIPOS ESPECIFICADOS DE LINFOMA FOLICULAR,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1115,C,C829,"LINFOMA FOLICULAR, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1116,C,C830,LINFOMA DE CÉLULAS B PEQUEÑAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1117,C,C831,LINFOMA DE CÉLULAS DEL MANTO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1118,C,C833,LINFOMA DE CÉLULAS GRANDES B DIFUSO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1119,C,C835,LINFOMA LINFOBLÁSTICO (DIFUSO),NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1120,C,C837,LINFOMA DE BURKITT,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1121,C,C838,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO FOLICULAR,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1122,C,C839,"LINFOMA NO FOLICULAR (DIFUSO), SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1123,C,C840,MICOSIS FUNGOIDE,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1124,C,C841,ENFERMEDAD DE SÉZARY,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1125,C,C844,"LINFOMA PERIFÉRICO DE CÉLULAS T, NO CLASIFICADO EN OTRA PARTE",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1126,C,C845,OTROS LINFOMAS DE CÉLULAS T/NK MADURAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1127,C,C846,LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-POSITIVO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1128,C,C847,LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-NEGATIVO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1129,C,C848,"LINFOMA CUTÁNEO DE CÉLULAS T, NO ESPECIFICADO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1130,C,C849,"LINFOMA DE CÉLULAS T/NK MADURAS, NO ESPECIFICADO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1131,C,C851,"LINFOMA DE CÉLULAS B, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1132,C,C852,LINFOMA MEDIASTINAL DE CÉLULAS B GRANDES (DEL TIMO),NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1133,C,C857,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,14,NO
1134,C,C859,"LINFOMA NO HODGKIN, NO ESPECIFICADO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,209,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,14,NO
1135,C,C860,"LINFOMA EXTRANODAL DE CÉLULAS T/NK, TIPO NASAL",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1136,C,C861,LINFOMA HEPATOESPLÉNICO DE CÉLULAS T,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1137,C,C862,LINFOMA DE CÉLULAS T TIPO ENTEROPATÍA (INTESTINAL),NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1138,C,C863,LINFOMA DE CÉLULAS T TIPO PANICULITIS SUBCUTÁNEA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1139,C,C864,LINFOMA BLÁSTICO DE CÉLULAS NK,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1140,C,C865,LINFOMA ANGIOINMUNOBLÁSTICO DE CÉLULAS T,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1141,C,C866,TRASTORNOS LINFOPROLIFERATIVOS PRIMARIO CUTÁNEOS DE CÉLULAS T CD30-POSITIVO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1142,C,C880,MACROGLOBULINEMIA DE WALDENSTRÖM,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1143,C,C882,OTRAS ENFERMEDADES DE CADENA PESADA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1144,C,C883,ENFERMEDAD INMUNOPROLIFERATIVA DEL INTESTINO DELGADO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1145,C,C884,LINFOMA DE CÉLULAS B EXTRANODAL DE ZONA MARGINAL DE TEJIDO LINFOIDE ASOCIADO A MUCOSAS [LINFOMA TLAM],NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1146,C,C887,OTRAS ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1147,C,C889,"ENFERMEDAD INMUNOPROLIFERATIVA MALIGNA, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1148,C,C900,MIELOMA MÚLTIPLE,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1149,C,C901,LEUCEMIA DE CÉLULAS PLASMÁTICAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1150,C,C902,PLASMOCITOMA EXTRAMEDULAR,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1151,C,C903,PLASMOCITOMA SOLITARIO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1152,C,C910,LEUCEMIA LINFOBLÁSTICA AGUDA [LLA],NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1153,C,C911,LEUCEMIA LINFOCÍTICA CRÓNICA DE CÉLULA TIPO B,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1154,C,C913,LEUCEMIA PROLINFOCÍTICA DE CÉLULA TIPO B,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1155,C,C914,LEUCEMIA DE CÉLULAS VELLOSAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1156,C,C915,LEUCEMIA/LINFOMA DE CÉLULAS T ADULTAS [HTLV-1-ASOCIADO],NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1157,C,C916,LEUCEMIA PROLINFOCÍTICA DE CÉLULAS TIPO T,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1158,C,C917,OTRAS LEUCEMIAS LINFOIDES,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1159,C,C918,LEUCEMIA TIPO BURKITT DE CÉLULAS B MADURAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1160,C,C919,"LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1161,C,C920,LEUCEMIA MIELOBLÁSTICA AGUDA [LMA],NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1162,C,C921,"LEUCEMIA MIELOIDE CRÓNICA [LMC], BCR/ABL-POSITIVO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1163,C,C922,"LEUCEMIA MIELOIDE CRÓNICA ATÍPICA, BCR/ABL-NEGATIVO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1164,C,C923,SARCOMA MIELOIDE,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1165,C,C924,LEUCEMIA PROMIELOCÍTICA AGUDA [LPA],NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1166,C,C925,LEUCEMIA MIELOMONOCÍTICA AGUDA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1167,C,C926,LEUCEMIA MIELOIDE AGUDA CON ANORMALIDAD 11Q23,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1168,C,C927,OTRAS LEUCEMIAS MIELOIDES,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1169,C,C928,LEUCEMIA MIELOIDE AGUDA CON DISPLASIA MULTILINAJE,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1170,C,C929,"LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1171,C,C930,LEUCEMIA MONOCÍTICA/MONOBLÁSTICA AGUDA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1172,C,C931,LEUCEMIA MIELOMONOCÍTICA CRÓNICA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1173,C,C933,LEUCEMIA MIELOMONOCÍTICA JUVENIL,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1174,C,C937,OTRAS LEUCEMIAS MONOCÍTICAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1175,C,C939,"LEUCEMIA MONOCÍTICA, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1176,C,C940,LEUCEMIA ERITROIDE AGUDA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1177,C,C942,LEUCEMIA MEGACARIOBLÁSTICA AGUDA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1178,C,C943,LEUCEMIA DE MASTOCITOS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1179,C,C944,PANMIELOSIS AGUDA CON MIELOFIBROSIS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1180,C,C946,"ENFERMEDAD MIELODISPLÁSICA Y MIELOPROLIFERATIVA, NO CLASIFICADA EN OTRA PARTE",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1181,C,C947,OTRAS LEUCEMIAS ESPECIFICADAS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1182,C,C950,"LEUCEMIA AGUDA, CÉLULAS DE TIPO NO ESPECIFICADO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1183,C,C951,"LEUCEMIA CRÓNICA, CÉLULAS DE TIPO NO ESPECIFICADO",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1184,C,C957,OTRAS LEUCEMIAS DE CÉLULAS DE TIPO NO ESPECIFICADO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1185,C,C959,"LEUCEMIA, NO ESPECIFICADA",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,210,ACTUALIZACIÓN SUIVE 2024 ,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1186,C,C960,HISTIOCITOSIS DE CÉLULAS DE LANGERHANS MULTIFOCAL Y MULTISISTÉMICA (DISEMINADA) [ENFERMEDAD DE LETTERER-SIWE],NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1187,C,C962,TUMOR MALIGNO DE MASTOCITOS,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1188,C,C964,SARCOMA DE CÉLULAS DENDRÍTICAS (CÉLULAS ACCESORIAS),NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1189,C,C965,HISTIOCITOSIS DE CÉLULAS DE LANGERHANS MULTIFOCAL Y UNISISTÉMICA,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1190,C,C966,HISTIOCITOSIS DE CÉLULAS DE LANGERHANS UNIFOCAL,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1191,C,C967,"OTROS TUMORES MALIGNOS ESPECIFICADOS DEL TEJIDO LINFÁTICO, HEMATOPOYÉTICO Y TEJIDOS AFINES",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1192,C,C968,SARCOMA HISTIOCÍTICO,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1193,C,C969,"TUMOR MALIGNO DEL TEJIDO LINFÁTICO, HEMATOPOYÉTICO Y TEJIDOS AFINES, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
1194,C,C97X,TUMORES MALIGNOS (PRIMARIOS) DE SITIOS MÚLTIPLES INDEPENDIENTES,NO,NO,NO,NO,NO,2,II,TUMORES (NEOPLASIAS),NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
9249,CP,CP01,Leucemia Linfoblástica Aguda 4  /ESTADIFICACIÓN NIVEL 1: SNC negativo / NIVEL 2: SNC1,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9250,CP,CP02,Leucemia Linfoblástica Aguda 4 /ESTADIFICACIÓN NIVEL 1: SNC positivo / NIVEL 2: SNC2 ,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9251,CP,CP03,Leucemia Linfoblástica Aguda 4 /ESTADIFICACIÓN NIVEL 1: SNC positivo / NIVEL 2: SNC3,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9252,CP,CP04,Leucemia Mieloide Aguda 5 /ESTADIFICACIÓN NIVEL 1: SNC negativo SNC positivo / NIVEL 2: SNC negativo SNC positivo,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9253,CP,CP05,Linfoma de Hodgkin 6 /ESTADIFICACIÓN NIVEL 1: Ann Arbor-estadio IA/B Ann Arbor-estadio IIA/B Ann Arbor-estadio IIIA/B Ann Arbor-estadio IVA/B / NIVEL 2: Ann Arbor-estadio IA,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9254,CP,CP06,Linfoma de Hodgkin 6 /ESTADIFICACIÓN NIVEL 1: Ann Arbor-estadio IA/B Ann Arbor-estadio IIA/B Ann Arbor-estadio IIIA/B Ann Arbor-estadio IVA/B / NIVEL 2: B Ann Arbor-estadio IIA,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9255,CP,CP07,Linfoma de Hodgkin 6 /ESTADIFICACIÓN NIVEL 1: Ann Arbor-estadio IA/B Ann Arbor-estadio IIA/B Ann Arbor-estadio IIIA/B Ann Arbor-estadio IVA/B / NIVEL 2: B Ann Arbor-estadio IIIA,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9256,CP,CP08,Linfoma de Hodgkin 6 /ESTADIFICACIÓN NIVEL 1: Ann Arbor-estadio IA/B Ann Arbor-estadio IIA/B Ann Arbor-estadio IIIA/B Ann Arbor-estadio IVA/B / NIVEL 2: B Ann Arbor-estadio IVA/B,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9257,CP,CP09,Linfoma no-Hodgkin 7 /ESTADIFICACIÓN NIVEL 1: Limitado / NIVEL 2: St Jude/Murphy-estadio I ,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9258,CP,CP10,Linfoma no-Hodgkin 7 /ESTADIFICACIÓN NIVEL 1: Limitado / NIVEL 2: St Jude/Murphy-estadio II ,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9259,CP,CP11,Linfoma no-Hodgkin 7 /ESTADIFICACIÓN NIVEL 1: Limitado / NIVEL 2:  St Jude/Murphy-estadio III,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9260,CP,CP12,Linfoma no-Hodgkin 7 /ESTADIFICACIÓN NIVEL 1: Avanzado / NIVEL 2: St Jude/Murphy-estadio IV,NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9261,CP,CP13,"Neuroblastoma 8 /ESTADIFICACIÓN NIVEL 1: Localizado Loco-regional Metastásico
INRGSS-enfermedad MS / NIVEL 2: INRGSS-localizado L1 ",NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9262,CP,CP14,"Neuroblastoma 8 /ESTADIFICACIÓN NIVEL 1: Localizado Loco-regional Metastásico
INRGSS-enfermedad MS / NIVEL 2: INRGSS-loco-regional L2 ",NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
9263,CP,CP15,"Neuroblastoma 8 /ESTADIFICACIÓN NIVEL 1: Localizado Loco-regional Metastásico
INRGSS-enfermedad MS / NIVEL 2: INRGSS-metastásico M ",NO,SI,NO,000H,018A,3,NO,NO,NO,NO,NO,4,4,NO,NO,NO
